sub_n,disp_cond,block_n,trial_n,computer_n,set,distance,diag,d_identity,t_identity,c_identity,d,c,t,rt
50301,horizontal,4,37,1,a-b-db,14,1,1,3,2,8.845025089269518,8.928370482070653,9.008381151298051,6.89385
50301,horizontal,4,38,1,a-b-db,5,3,3,2,1,10.314664843190544,10.053424478356416,10.1664488988831,12.1622
50301,horizontal,4,39,1,a-b-da,14,2,3,2,1,9.493504425640674,9.612942895043918,9.641720369948118,7.8274
50301,horizontal,4,40,1,a-b-db,9,2,1,3,2,9.462496052568744,9.398998655939582,9.333419010293602,8.21091
50302,triangle,1,1,3,a-b-da,14,1,1,3,2,8.928370482070653,9.008381151298051,9.047217323012255,21.6319
50302,triangle,1,3,3,a-b-da,2,1,1,2,3,9.299804773660838,9.265615906942239,9.366477614196022,21.0984
50302,triangle,1,4,3,a-b-db,5,3,3,2,1,10.12200262531368,10.053424478356416,10.076546123158568,15.5133
50302,triangle,1,6,3,a-b-da,5,2,1,2,3,9.806196566422063,9.612942895043918,9.806196566422063,22.1655
50302,triangle,1,8,3,a-b-db,14,1,3,2,1,9.299804773660838,9.299804773660838,9.398998655939582,25.1163
50302,triangle,1,9,3,a-b-db,9,3,3,1,2,9.806196566422063,9.698062123881511,9.75286007225774,20.948
50302,triangle,1,12,3,a-b-da,2,3,2,3,1,9.832340729556767,9.75286007225774,9.858147539228584,14.8798
50302,triangle,1,13,3,a-b-db,5,1,2,3,1,9.008381151298051,8.928370482070653,8.968775896705692,41.6715
50302,triangle,1,14,3,a-b-db,9,1,3,1,2,9.008381151298051,9.085313712953644,8.968775896705692,9.72848
50302,triangle,1,19,3,a-b-db,5,2,1,3,2,9.670089639932032,9.698062123881511,9.641720369948118,15.1131
50302,triangle,1,20,3,a-b-da,9,3,1,2,3,10.030032398830032,10.18830703994748,10.231319450389408,17.5139
50302,triangle,1,21,3,a-b-db,14,3,1,3,2,10.006363483536028,10.053424478356416,10.053424478356416,34.9197
50302,triangle,1,23,3,a-b-da,9,2,3,2,1,9.958168380377906,9.883625590783444,9.958168380377906,13.3625
50302,triangle,1,24,3,a-b-da,5,1,2,3,1,9.398998655939582,9.366477614196022,9.398998655939582,7.8443
50302,triangle,1,26,3,a-b-da,2,2,2,3,1,9.958168380377906,9.75286007225774,9.779706112922021,14.8795
50302,triangle,1,28,3,a-b-da,14,2,1,3,2,9.883625590783444,9.75286007225774,9.958168380377906,28.4173
50302,triangle,1,29,3,a-b-db,2,1,3,1,2,9.554115124631332,9.641720369948118,9.554115124631332,13.9625
50302,triangle,1,30,3,a-b-db,14,2,2,3,1,9.858147539228584,9.806196566422063,9.858147539228584,10.4784
50302,triangle,1,31,3,a-b-db,9,2,3,2,1,9.982411101442596,9.858147539228584,9.933628195194277,9.84475
50302,triangle,1,32,3,a-b-db,2,3,3,2,1,10.14434922650993,10.12200262531368,10.18830703994748,18.881
50302,triangle,1,34,3,a-b-da,14,3,2,3,1,10.099403514805813,9.908783155197163,10.006363483536028,36.6364
50302,triangle,1,38,3,a-b-da,5,3,2,1,3,10.355070257825583,10.231319450389408,10.1664488988831,24.6497
50302,triangle,1,39,3,a-b-db,2,2,3,1,2,9.908783155197163,9.832340729556767,9.806196566422063,10.7615
50302,triangle,1,40,3,a-b-da,9,1,1,3,2,9.195433267319698,9.195433267319698,9.047217323012255,10.1452
50302,triangle,2,1,3,a-b-da,14,2,3,1,2,9.670089639932032,9.779706112922021,9.806196566422063,15.33
50302,triangle,2,2,3,a-b-db,5,3,2,1,3,10.006363483536028,9.908783155197163,10.053424478356416,22.2985
50302,triangle,2,6,3,a-b-da,9,2,2,1,3,9.430999338632466,9.612942895043918,9.398998655939582,14.0462
50302,triangle,2,10,3,a-b-da,5,2,2,1,3,9.641720369948118,9.583745296201613,9.554115124631332,8.39438
50302,triangle,2,14,3,a-b-db,5,2,2,1,3,9.779706112922021,9.779706112922021,9.641720369948118,9.24464
50302,triangle,2,15,3,a-b-db,14,3,1,2,3,9.958168380377906,9.908783155197163,9.933628195194277,11.2789
50302,triangle,2,17,3,a-b-db,9,1,1,3,2,9.085313712953644,8.845025089269518,9.047217323012255,7.31081
50302,triangle,2,18,3,a-b-db,2,3,2,1,3,10.006363483536028,10.030032398830032,9.958168380377906,7.2606
50302,triangle,2,19,3,a-b-da,5,3,3,1,2,10.006363483536028,10.18830703994748,9.933628195194277,19.2475
50302,triangle,2,21,3,a-b-db,2,2,2,1,3,9.832340729556767,9.806196566422063,9.698062123881511,30.0346
50302,triangle,2,22,3,a-b-da,2,2,3,1,2,9.698062123881511,9.806196566422063,9.806196566422063,6.49376
50302,triangle,2,23,3,a-b-db,2,1,1,3,2,9.195433267319698,9.085313712953644,9.159396256314341,6.34387
50302,triangle,2,24,3,a-b-da,2,3,2,3,1,10.252483669050482,10.076546123158568,10.053424478356416,6.39376
50302,triangle,2,25,3,a-b-db,14,1,3,2,1,9.085313712953644,9.159396256314341,9.333419010293602,11.5951
50302,triangle,2,26,3,a-b-da,9,1,1,2,3,8.968775896705692,9.122697978977948,9.122697978977948,21.6317
50302,triangle,2,27,3,a-b-da,14,1,1,3,2,9.462496052568744,9.398998655939582,9.493504425640674,46.8896
50302,triangle,2,29,3,a-b-db,5,1,2,3,1,8.667130117236525,8.667130117236525,9.008381151298051,7.67754
50302,triangle,2,32,3,a-b-db,9,2,2,1,3,9.493504425640674,9.779706112922021,9.832340729556767,18.5477
50302,triangle,2,33,3,a-b-da,2,1,2,1,3,9.366477614196022,9.299804773660838,9.265615906942239,13.7794
50302,triangle,2,34,3,a-b-da,14,3,1,2,3,9.806196566422063,10.030032398830032,9.858147539228584,8.69443
50302,triangle,2,35,3,a-b-db,9,3,1,3,2,9.858147539228584,10.053424478356416,10.030032398830032,7.57776
50302,triangle,2,38,3,a-b-da,5,1,1,3,2,9.612942895043918,9.462496052568744,9.462496052568744,84.9682
50302,triangle,2,39,3,a-b-db,14,2,1,3,2,9.462496052568744,9.858147539228584,9.75286007225774,6.66035
50302,triangle,2,40,3,a-b-da,9,3,1,3,2,9.883625590783444,10.1664488988831,10.030032398830032,14.6461
50302,triangle,3,1,3,a-b-da,14,1,3,1,2,9.493504425640674,9.462496052568744,9.333419010293602,8.94476
50302,triangle,3,2,3,a-b-db,5,2,3,2,1,9.554115124631332,9.583745296201613,9.554115124631332,9.57795
50302,triangle,3,4,3,a-b-db,5,1,3,2,1,9.265615906942239,9.398998655939582,9.299804773660838,6.82755
50302,triangle,3,6,3,a-b-db,9,2,1,2,3,9.299804773660838,9.462496052568744,9.493504425640674,10.6784
50302,triangle,3,7,3,a-b-da,2,2,2,3,1,9.670089639932032,9.554115124631332,9.554115124631332,8.61103
50302,triangle,3,9,3,a-b-db,2,2,2,3,1,9.195433267319698,9.493504425640674,9.462496052568744,9.36108
50302,triangle,3,12,3,a-b-da,9,3,3,1,2,9.832340729556767,10.12200262531368,9.958168380377906,13.6126
50302,triangle,3,13,3,a-b-db,14,1,1,2,3,9.008381151298051,9.159396256314341,9.122697978977948,12.6958
50302,triangle,3,14,3,a-b-db,5,3,3,2,1,10.053424478356416,9.908783155197163,10.053424478356416,16.0297
50302,triangle,3,16,3,a-b-db,9,1,1,3,2,9.047217323012255,9.159396256314341,9.195433267319698,6.79375
