sub_n,disp_cond,block_n,trial_n,set,distance,diag,rsq,d,c,t
50302,triangle,1,29,w,2,1,0.7952944239864123,14102.609421964582,15393.80400258998,14102.609421964582
50302,triangle,1,30,w,14,2,0.7952944239864123,19113.449704440314,18145.839167134658,19113.449704440314
50302,triangle,1,31,w,9,2,0.7952944239864123,21642.431790580074,19113.449704440314,20611.989400202627
50302,triangle,1,32,w,2,3,0.7952944239864123,25446.90049407734,24884.555409084758,26590.44021998399
50302,triangle,1,34,h,14,3,0.7952944239864123,24328.49350939935,20106.192982974673,22167.077763729583
50302,triangle,1,38,h,5,3,0.7952944239864123,31415.926535897925,27759.11268711943,26015.52876437708
50302,triangle,1,39,w,2,2,0.7952944239864123,20106.192982974673,18626.502843133872,18145.839167134658
50302,triangle,1,40,h,9,1,0.7952944239864123,9852.034561657589,9852.034561657589,8494.866535306803
50302,triangle,2,1,h,14,2,0.7952944239864123,15836.76856674616,17671.458676442588,18145.839167134658
50302,triangle,2,2,w,5,3,0.7952944239864123,22167.077763729583,20106.192982974673,23235.21926595011
50302,triangle,2,6,h,9,2,0.7952944239864123,12468.981242097894,14957.122623740997,12076.282160399154
50302,triangle,2,10,h,5,2,0.7952944239864123,15393.80400258998,14526.724430199196,14102.609421964582
50302,triangle,2,14,w,5,2,0.7952944239864123,17671.458676442588,17671.458676442588,15393.80400258998
50302,triangle,2,15,w,14,3,0.7952944239864123,21124.069002737757,20106.192982974673,20611.989400202627
50302,triangle,2,17,w,9,1,0.7952944239864123,8824.73376393373,6939.778171779855,8494.866535306803
50302,triangle,2,18,w,2,3,0.7952944239864123,22167.077763729583,22698.00692218624,21124.069002737757
50302,triangle,2,19,h,5,3,0.7952944239864123,22167.077763729583,26590.44021998399,20611.989400202627
50302,triangle,2,21,w,2,2,0.7952944239864123,18626.502843133872,18145.839167134658,16286.0163162095
50302,triangle,2,22,h,2,2,0.7952944239864123,16286.0163162095,18145.839167134658,18145.839167134658
50302,triangle,2,23,w,2,1,0.7952944239864123,9852.034561657589,8824.73376393373,9503.31777710912
50302,triangle,2,24,h,2,3,0.7952944239864123,28352.873698647898,23778.71479502116,23235.21926595011
50302,triangle,2,25,w,14,1,0.7952944239864123,8824.73376393373,9503.31777710912,11309.733552923257
50302,triangle,2,26,h,9,1,0.7952944239864123,7853.981633974479,9160.884177867829,9160.884177867829
50302,triangle,2,27,h,14,1,0.7952944239864123,12867.963509103793,12076.282160399154,13273.228961416877
50302,triangle,2,29,w,5,1,0.7952944239864123,5808.804816487526,5808.804816487526,8171.28249198705
50302,triangle,2,32,w,9,2,0.7952944239864123,13273.228961416877,17671.458676442588,18626.502843133872
50302,triangle,2,33,h,2,1,0.7952944239864123,11689.86626400761,10935.884027146063,10568.317686676066
50302,triangle,2,34,h,14,3,0.7952944239864123,18145.839167134658,22698.00692218624,19113.449704440314
50302,triangle,2,35,w,9,3,0.7952944239864123,19113.449704440314,23235.21926595011,22698.00692218624
50302,triangle,2,38,h,5,1,0.7952944239864123,14957.122623740997,12867.963509103793,12867.963509103793
50302,triangle,2,39,w,14,2,0.7952944239864123,12867.963509103793,19113.449704440314,17203.361371057705
50302,triangle,2,40,h,9,3,0.7952944239864123,19606.67975105391,26015.52876437708,22698.00692218624
50302,triangle,3,1,h,14,1,0.7952944239864123,13273.228961416877,12867.963509103793,11309.733552923257
50302,triangle,3,2,w,5,2,0.7952944239864123,14102.609421964582,14526.724430199196,14102.609421964582
50302,triangle,3,4,w,5,1,0.7952944239864123,10568.317686676066,12076.282160399154,10935.884027146063
50302,triangle,3,6,w,9,2,0.7952944239864123,10935.884027146063,12867.963509103793,13273.228961416877
50302,triangle,3,7,h,2,2,0.7952944239864123,15836.76856674616,14102.609421964582,14102.609421964582
50302,triangle,3,9,w,2,2,0.7952944239864123,9852.034561657589,13273.228961416877,12867.963509103793
50302,triangle,3,12,h,9,3,0.7952944239864123,18626.502843133872,24884.555409084758,21124.069002737757
50302,triangle,3,13,w,14,1,0.7952944239864123,8171.28249198705,9503.31777710912,9160.884177867829
50302,triangle,3,14,w,5,3,0.7952944239864123,23235.21926595011,20106.192982974673,23235.21926595011
50302,triangle,3,16,w,9,1,0.7952944239864123,8494.866535306803,9503.31777710912,9852.034561657589
50302,triangle,3,19,h,9,2,0.7952944239864123,11689.86626400761,12468.981242097894,13684.77759903714
50302,triangle,3,23,h,2,1,0.7952944239864123,10207.034531513229,10207.034531513229,10568.317686676066
50302,triangle,3,24,h,14,2,0.7952944239864123,12867.963509103793,12076.282160399154,11689.86626400761
50302,triangle,3,25,h,5,1,0.7952944239864123,8171.28249198705,9503.31777710912,8171.28249198705
50302,triangle,3,26,h,5,2,0.7952944239864123,14102.609421964582,12076.282160399154,12867.963509103793
50302,triangle,3,28,h,5,3,0.7952944239864123,20611.989400202627,19113.449704440314,18626.502843133872
50302,triangle,3,29,h,14,3,0.7952944239864123,17671.458676442588,21124.069002737757,19113.449704440314
50302,triangle,3,30,w,2,1,0.7952944239864123,11309.733552923257,5541.769440932395,9503.31777710912
50302,triangle,3,31,h,9,1,0.7952944239864123,10207.034531513229,10207.034531513229,12076.282160399154
50302,triangle,3,32,w,14,2,0.7952944239864123,14957.122623740997,11689.86626400761,15836.76856674616
50302,triangle,3,34,w,14,3,0.7952944239864123,26015.52876437708,25446.90049407734,36643.53671147132
50302,triangle,3,36,h,2,3,0.7952944239864123,23235.21926595011,23235.21926595011,19606.67975105391
50302,triangle,3,38,w,2,3,0.7952944239864123,33979.46614122721,31415.926535897925,35298.935055734924
50302,triangle,3,40,w,9,3,0.7952944239864123,17671.458676442588,15836.76856674616,17203.361371057705
50302,triangle,4,1,w,14,3,0.7952944239864123,21642.431790580074,26590.44021998399,27759.11268711943
50302,triangle,4,2,w,5,3,0.7952944239864123,23235.21926595011,17671.458676442588,17203.361371057705
50302,triangle,4,4,w,2,3,0.7952944239864123,19606.67975105391,16286.0163162095,18145.839167134658
50302,triangle,4,8,w,2,2,0.7952944239864123,12076.282160399154,14526.724430199196,12867.963509103793
50302,triangle,4,13,h,2,3,0.7952944239864123,17203.361371057705,18626.502843133872,22167.077763729583
50302,triangle,4,14,h,2,2,0.7952944239864123,16286.0163162095,20611.989400202627,13273.228961416877
50302,triangle,4,15,h,14,2,0.7952944239864123,16286.0163162095,16286.0163162095,14102.609421964582
50302,triangle,4,16,w,14,1,0.7952944239864123,8494.866535306803,8494.866535306803,9503.31777710912
50302,triangle,4,17,w,9,1,0.7952944239864123,6939.778171779855,6939.778171779855,7238.229473870885
50302,triangle,4,18,h,14,1,0.7952944239864123,8171.28249198705,9852.034561657589,8494.866535306803
50302,triangle,4,21,w,14,2,0.7952944239864123,12867.963509103793,10207.034531513229,12867.963509103793
50302,triangle,4,22,w,2,1,0.7952944239864123,10568.317686676066,13684.77759903714,9503.31777710912
50302,triangle,4,23,h,9,1,0.7952944239864123,16286.0163162095,12076.282160399154,11309.733552923257
50302,triangle,4,25,h,5,1,0.7952944239864123,6361.7251235193335,6647.610054996007,9852.034561657589
50302,triangle,4,26,w,5,2,0.7952944239864123,17203.361371057705,13273.228961416877,14526.724430199196
50302,triangle,4,27,h,5,2,0.7952944239864123,17203.361371057705,12076.282160399154,13273.228961416877
50302,triangle,4,28,h,9,3,0.7952944239864123,22167.077763729583,24328.49350939935,21642.431790580074
50302,triangle,4,29,h,9,2,0.7952944239864123,16741.547250980013,17671.458676442588,16286.0163162095
50302,triangle,4,30,h,2,1,0.7952944239864123,6361.7251235193335,8171.28249198705,7542.96396126909
50302,triangle,4,32,h,14,3,0.7952944239864123,24884.555409084758,30171.855845076363,27759.11268711943
50302,triangle,4,34,h,5,3,0.7952944239864123,26015.52876437708,23778.71479502116,26015.52876437708
50302,triangle,4,35,w,9,2,0.7952944239864123,10935.884027146063,17203.361371057705,18626.502843133872
50302,triangle,4,38,w,9,3,0.7952944239864123,28952.917895483544,23778.71479502116,24328.49350939935
50302,triangle,4,40,w,5,1,0.7952944239864123,12867.963509103793,12076.282160399154,12468.981242097894
50304,triangle,1,1,h,5,2,0.7641923388466515,9852.034561657589,9503.31777710912,10207.034531513229
50304,triangle,1,2,h,5,3,0.7641923388466515,15836.76856674616,14957.122623740997,13684.77759903714
50304,triangle,1,3,w,14,1,0.7641923388466515,4300.840342764425,6361.7251235193335,5808.804816487526
50304,triangle,1,5,h,14,1,0.7641923388466515,8494.866535306803,8494.866535306803,6647.610054996007
50304,triangle,1,8,h,5,1,0.7641923388466515,8171.28249198705,7853.981633974479,10568.317686676066
50304,triangle,1,9,w,14,3,0.7641923388466515,18626.502843133872,18145.839167134658,19606.67975105391
50304,triangle,1,12,w,5,3,0.7641923388466515,21642.431790580074,18626.502843133872,23778.71479502116
50304,triangle,1,13,w,5,1,0.7641923388466515,8494.866535306803,9852.034561657589,9852.034561657589
50304,triangle,1,14,h,2,1,0.7641923388466515,11689.86626400761,10568.317686676066,11309.733552923257
50304,triangle,1,15,h,14,2,0.7641923388466515,18626.502843133872,19606.67975105391,20106.192982974673
50304,triangle,1,18,h,2,3,0.7641923388466515,19113.449704440314,14102.609421964582,11309.733552923257
50304,triangle,1,19,h,2,2,0.7641923388466515,11309.733552923257,10207.034531513229,10935.884027146063
50304,triangle,1,20,w,2,1,0.7641923388466515,5541.769440932395,4071.504079052374,3631.681107549798
50304,triangle,1,21,w,2,2,0.7641923388466515,8171.28249198705,6082.123377349836,6361.7251235193335
50304,triangle,1,22,w,9,2,0.7641923388466515,7542.96396126909,6082.123377349836,9160.884177867829
50304,triangle,1,25,w,2,3,0.7641923388466515,18626.502843133872,19606.67975105391,15393.80400258998
50304,triangle,1,26,h,9,1,0.7641923388466515,4536.459791783664,6082.123377349836,7853.981633974479
50304,triangle,1,29,w,5,2,0.7641923388466515,10207.034531513229,12867.963509103793,17203.361371057705
50304,triangle,1,30,h,14,3,0.7641923388466515,19606.67975105391,24328.49350939935,27171.63486089811
50304,triangle,1,32,h,9,2,0.7641923388466515,12468.981242097894,17203.361371057705,13684.77759903714
50304,triangle,1,34,h,9,3,0.7641923388466515,22167.077763729583,21642.431790580074,22167.077763729583
50304,triangle,1,38,w,9,3,0.7641923388466515,22167.077763729583,19606.67975105391,26015.52876437708
